TimeGenerated [UTC],Id,Source,Name,Url,Success,ResultCode,DurationMs,PerformanceBucket,Properties,Measurements,OperationName,OperationId,OperationLinks,ParentId,SyntheticSource,SessionId,UserId,UserAuthenticatedId,UserAccountId,AppVersion,AppRoleName,AppRoleInstance,ClientType,ClientModel,ClientOS,ClientIP,ClientCity,ClientStateOrProvince,ClientCountryOrRegion,ClientBrowser,ResourceGUID,IKey,SDKVersion,ItemCount,ReferencedItemId,ReferencedType,SourceSystem,Type
"8/5/2021, 8:33:38.563 AM",910c4b4f4b367946,,GET /,https://reliabilitybaselinetestapp.azurewebsites.net/,TRUE,200,58.9031,<250ms,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')"",""AspNetCoreEnvironment"":""Production""}",,GET /,a9878f434c9e4f6eaae2a40fc3d4a7fa,,|a9878f434c9e4f6eaae2a40fc3d4a7fa.0,Application Insights Availability Monitoring,a9878f434c9e4f6eaae2a40fc3d4a7fa,latam-br-gru-edge_a9878f434c9e4f6eaae2a40fc3d4a7fa,,,1.0.0.0,reliabilitybaselinetestapp,pd0sdwk00001O,PC,,,0.0.0.0,Campinas,Sao Paulo,Brazil,,4f5f56c9-08bb-4c62-8a23-6851c37c6322,0039f293-29a6-4dc9-a833-1b298e46406a,ar_aspnet5c:2.8.0,1,,,Azure,AppRequests
"8/5/2021, 8:33:38.563 AM",910c4b4f4b367946,,GET /,https://reliabilitybaselinetestapp.azurewebsites.net/,TRUE,200,58.9031,<250ms,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')"",""AspNetCoreEnvironment"":""Production""}",,GET /,a9878f434c9e4f6eaae2a40fc3d4a7fa,,|a9878f434c9e4f6eaae2a40fc3d4a7fa.0,Application Insights Availability Monitoring,a9878f434c9e4f6eaae2a40fc3d4a7fa,latam-br-gru-edge_a9878f434c9e4f6eaae2a40fc3d4a7fa,,,1.0.0.0,reliabilitybaselinetestapp,pd0sdwk00001O,PC,,,0.0.0.0,Campinas,Sao Paulo,Brazil,,4f5f56c9-08bb-4c62-8a23-6851c37c6322,0039f293-29a6-4dc9-a833-1b298e46406a,ar_aspnet5c:2.8.0,1,,,Azure,AppRequests
"8/5/2021, 8:33:59.435 AM",93af58e55c13844c,,GET /,https://reliabilitybaselinetestapp.azurewebsites.net/,TRUE,200,14.706,<250ms,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')"",""AspNetCoreEnvironment"":""Production""}",,GET /,6e1d799f897d0f479acd1a6e8014d50a,,6e1d799f897d0f479acd1a6e8014d50a,,,,,,1.0.0.0,reliabilitybaselinetestapp,pd0sdwk00001O,PC,,,0.0.0.0,,,India,,4f5f56c9-08bb-4c62-8a23-6851c37c6322,0039f293-29a6-4dc9-a833-1b298e46406a,ar_aspnet5c:2.8.0,1,,,Azure,AppRequests
"8/5/2021, 8:33:59.435 AM",93af58e55c13844c,,GET /,https://reliabilitybaselinetestapp.azurewebsites.net/,TRUE,200,14.706,<250ms,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')"",""AspNetCoreEnvironment"":""Production""}",,GET /,6e1d799f897d0f479acd1a6e8014d50a,,6e1d799f897d0f479acd1a6e8014d50a,,,,,,1.0.0.0,reliabilitybaselinetestapp,pd0sdwk00001O,PC,,,0.0.0.0,,,India,,4f5f56c9-08bb-4c62-8a23-6851c37c6322,0039f293-29a6-4dc9-a833-1b298e46406a,ar_aspnet5c:2.8.0,1,,,Azure,AppRequests
"8/5/2021, 8:34:00.876 AM",679844616010a54b,,GET /images/arrow-right.svg,https://reliabilitybaselinetestapp.azurewebsites.net/images/arrow-right.svg,TRUE,200,0.8399,<250ms,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')"",""AspNetCoreEnvironment"":""Production""}",,GET /images/arrow-right.svg,544f0f58712b594a91b599eaa23ed2f0,,544f0f58712b594a91b599eaa23ed2f0,,,,,,1.0.0.0,reliabilitybaselinetestapp,pd0sdwk00001O,PC,,,0.0.0.0,,,India,,4f5f56c9-08bb-4c62-8a23-6851c37c6322,0039f293-29a6-4dc9-a833-1b298e46406a,ar_aspnet5c:2.8.0,1,,,Azure,AppRequests
"8/5/2021, 8:34:00.876 AM",679844616010a54b,,GET /images/arrow-right.svg,https://reliabilitybaselinetestapp.azurewebsites.net/images/arrow-right.svg,TRUE,200,0.8399,<250ms,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')"",""AspNetCoreEnvironment"":""Production""}",,GET /images/arrow-right.svg,544f0f58712b594a91b599eaa23ed2f0,,544f0f58712b594a91b599eaa23ed2f0,,,,,,1.0.0.0,reliabilitybaselinetestapp,pd0sdwk00001O,PC,,,0.0.0.0,,,India,,4f5f56c9-08bb-4c62-8a23-6851c37c6322,0039f293-29a6-4dc9-a833-1b298e46406a,ar_aspnet5c:2.8.0,1,,,Azure,AppRequests
"8/5/2021, 8:34:02.622 AM",028e14f9b0ad744f,,GET /,https://reliabilitybaselinetestapp.azurewebsites.net/?pageId=1,TRUE,200,12.9858,<250ms,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')"",""AspNetCoreEnvironment"":""Production""}",,GET /,e3f6dd1d63113c4c9a3284cef1bd415f,,e3f6dd1d63113c4c9a3284cef1bd415f,,,,,,1.0.0.0,reliabilitybaselinetestapp,pd0sdwk00001O,PC,,,0.0.0.0,,,India,,4f5f56c9-08bb-4c62-8a23-6851c37c6322,0039f293-29a6-4dc9-a833-1b298e46406a,ar_aspnet5c:2.8.0,1,,,Azure,AppRequests
"8/5/2021, 8:34:02.622 AM",028e14f9b0ad744f,,GET /,https://reliabilitybaselinetestapp.azurewebsites.net/?pageId=1,TRUE,200,12.9858,<250ms,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')"",""AspNetCoreEnvironment"":""Production""}",,GET /,e3f6dd1d63113c4c9a3284cef1bd415f,,e3f6dd1d63113c4c9a3284cef1bd415f,,,,,,1.0.0.0,reliabilitybaselinetestapp,pd0sdwk00001O,PC,,,0.0.0.0,,,India,,4f5f56c9-08bb-4c62-8a23-6851c37c6322,0039f293-29a6-4dc9-a833-1b298e46406a,ar_aspnet5c:2.8.0,1,,,Azure,AppRequests
"8/5/2021, 8:34:02.884 AM",228d17a0bb57644b,,GET /images/arrow-right.svg,https://reliabilitybaselinetestapp.azurewebsites.net/images/arrow-right.svg,TRUE,200,0.7934,<250ms,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')"",""AspNetCoreEnvironment"":""Production""}",,GET /images/arrow-right.svg,42548ed88051f54ab32887f93277fae7,,42548ed88051f54ab32887f93277fae7,,,,,,1.0.0.0,reliabilitybaselinetestapp,pd0sdwk00001O,PC,,,0.0.0.0,,,India,,4f5f56c9-08bb-4c62-8a23-6851c37c6322,0039f293-29a6-4dc9-a833-1b298e46406a,ar_aspnet5c:2.8.0,1,,,Azure,AppRequests
"8/5/2021, 8:34:02.884 AM",228d17a0bb57644b,,GET /images/arrow-right.svg,https://reliabilitybaselinetestapp.azurewebsites.net/images/arrow-right.svg,TRUE,200,0.7934,<250ms,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')"",""AspNetCoreEnvironment"":""Production""}",,GET /images/arrow-right.svg,42548ed88051f54ab32887f93277fae7,,42548ed88051f54ab32887f93277fae7,,,,,,1.0.0.0,reliabilitybaselinetestapp,pd0sdwk00001O,PC,,,0.0.0.0,,,India,,4f5f56c9-08bb-4c62-8a23-6851c37c6322,0039f293-29a6-4dc9-a833-1b298e46406a,ar_aspnet5c:2.8.0,1,,,Azure,AppRequests
